This is PycnoCalc - Pycnonulear Reaction Calculation System
 
*****************************************************************
  A Collaboration of: Dr. Fridolin Weber (fweber@mail.sdsu.edu)
                      Joe Hellmers (hellmersjl@icloud.com)
                      Barbara Golf (bsouci@gmail.com)
                      Whitney Ryan (whitney.currier@gmail.com)
*****************************************************************
 
 Radius(fm),Vnn(SP_min),Vnn(SP_max),Vnn(M3Y),Vnn(RMF)
   4.0000000000000001E-002 ,  -83.729774523713019      ,  -83.669073138106754      ,   23292.633048742155      ,   15916.372024259363     
   8.0000000000000002E-002 ,  -82.986722117558699      ,  -82.926559420977796      ,   9415.5995757593537      ,   6021.6160514814837     
  0.12000000000000000      ,  -81.785048345386983      ,  -81.725756823527760      ,   5042.0804549201321      ,   2966.9228420670916     
  0.16000000000000000      ,  -80.168376405358046      ,  -80.110256918505343      ,   3014.1739605254038      ,   1591.1548423813420     
  0.20000000000000001      ,  -78.186877026309133      ,  -78.130194062587790      ,   1904.0551243135492      ,   866.09648747133815     
  0.23999999999999999      ,  -75.893669401417228      ,  -75.838648939250518      ,   1238.4351506619555      ,   451.83005337502118     
  0.28000000000000003      ,  -73.342178987755346      ,  -73.289008273833517      ,   816.40287136098596      ,   204.71510169145677     
  0.32000000000000001      ,  -70.584249348255213      ,  -70.533078044357779      ,   538.93089940879577      ,   54.434296265651028     
  0.35999999999999999      ,  -67.668843437371933      ,  -67.619785708715810      ,   352.07895519443764      ,  -36.952889965703662     
  0.40000000000000002      ,  -64.641201261997765      ,  -64.594338476254265      ,   224.30167718967220      ,  -91.359348201950979     
  0.44000000000000000      ,  -61.542346799539281      ,  -61.497730583319381      ,   136.15445314878320      ,  -122.07915341711669     
  0.47999999999999998      ,  -58.408858361361965      ,  -58.366513823180853      ,   75.162277566483340      ,  -137.47439374746170     
  0.52000000000000002      ,  -55.272834036912826      ,  -55.232763015206274      ,   33.069333289003907      ,  -142.94663366837790     
  0.56000000000000005      ,  -52.161998099311184      ,  -52.124182333311204      ,   4.2771887711705858      ,  -142.05264613745373     
  0.59999999999999998      ,  -49.099905847342626      ,  -49.064309999449520      ,  -15.084462686995039      ,  -137.16530171396147     
  0.64000000000000001      ,  -46.106213761532729      ,  -46.072788243832441      ,  -27.732364154295567      ,  -129.87983938829007     
  0.68000000000000005      ,  -43.196989447246324      ,  -43.165673023329234      ,  -35.596494069433760      ,  -121.27134500622338     
  0.71999999999999997      ,  -40.385041945597351      ,  -40.355764092912224      ,  -40.060609733871388      ,  -112.06208860805407     
  0.76000000000000001      ,  -37.680257879756937      ,  -37.652940908269635      ,  -42.123622503181721      ,  -102.73256332447559     
  0.80000000000000004      ,  -35.089932791408295      ,  -35.064493722052312      ,  -42.509975456293475      ,  -93.596439896413898     
  0.83999999999999997      ,  -32.619090093295256      ,  -32.595442305191902      ,  -41.746396526195724      ,  -84.851876252420070     
  0.88000000000000000      ,  -30.270782471172136      ,  -30.248837130344000      ,  -40.216028978518366      ,  -76.617038130595262     
  0.92000000000000004      ,  -28.046372437719484      ,  -28.026039722411415      ,  -38.197070733738713      ,  -68.954905475302326     
  0.95999999999999996      ,  -25.945790175851307      ,  -25.926980314923302      ,  -35.890641289582227      ,  -61.890708116070279     
   1.0000000000000000      ,  -23.967767894650290      ,  -23.950392036069871      ,  -33.441055957613855      ,  -55.424232017456333     
   1.0400000000000000      ,  -22.110050727978233      ,  -22.094021654418111      ,  -30.950685012759362      ,  -49.538521417976092     
   1.0800000000000001      ,  -20.369584790968421      ,  -20.354817499069334      ,  -28.490910704304131      ,  -44.206028717393053     
   1.1200000000000001      ,  -18.742683419913842      ,  -18.729095579028805      ,  -26.110246875749940      ,  -39.392945854291249     
   1.1599999999999999      ,  -17.225172894587569      ,  -17.212685199882110      ,  -23.840379146103917      ,  -35.062234114788993     
   1.2000000000000000      ,  -15.812519109615470      ,  -15.801055543335261      ,  -21.700670747942379      ,  -31.175719678865519     
   1.2400000000000000      ,  -14.499936748058934      ,  -14.489424761650074      ,  -19.701529620909866      ,  -27.695517765717810     
   1.2800000000000000      ,  -13.282482535845336      ,  -13.272853164468149      ,  -17.846926196597863      ,  -24.584974606245787     
   1.3200000000000001      ,  -12.155134136074226      ,  -12.146322055921294      ,  -16.136275163635041      ,  -21.809264101329880     
   1.3600000000000001      ,  -11.112856190201210      ,  -11.104799727937630      ,  -14.565839387848692      ,  -19.335738490884406     
   1.4000000000000001      ,  -10.150654938643246      ,  -10.143296041248721      ,  -13.129773944467374      ,  -17.134105278279002     
   1.4399999999999999      ,  -9.2636227642605853      ,  -9.2569069365789396      ,  -11.820898654180322      ,  -15.176483005251390     
   1.4800000000000000      ,  -8.4469739044785257      ,  -8.4408501208770694      ,  -10.631265635958311      ,  -13.437374147443322     
   1.5200000000000000      ,  -7.6960724761170036      ,  -7.6904930718288176      ,  -9.5525721018038485      ,  -11.893582917895609     
   1.5600000000000001      ,  -7.0064538547507853      ,  -7.0013744017176327      ,  -8.5764564284160816      ,  -10.524098072967464     
   1.6000000000000001      ,  -6.3738403501637597      ,  -6.3692195215148244      ,  -7.6947063739962003      ,  -9.3099551591935743     
   1.6400000000000001      ,  -5.7941520229988388      ,  -5.7899514496877309      ,  -6.8994013863886412      ,  -8.2340884777834766     
   1.6799999999999999      ,  -5.2635133962776068      ,  -5.2596975188537316      ,  -6.1830057027364136      ,  -7.2811799819910803     
   1.7200000000000000      ,  -4.7782567298644389      ,  -4.7747926478704867      ,  -5.5384249526026457      ,  -6.4375100740150648     
   1.7600000000000000      ,  -4.3349224466254368      ,  -4.3317797676859238      ,  -4.9590359365814187      ,  -5.6908136215616523     
   1.8000000000000000      ,  -3.9302572261685746      ,  -3.9274079164603548      ,  -4.4386969304124264      ,  -5.0301433142781287     
   1.8400000000000001      ,  -3.5612102156379533      ,  -3.5586284531077896      ,  -3.9717440881288550      ,  -4.4457416119244542     
   1.8800000000000001      ,  -3.2249277469165967      ,  -3.2225897783285835      ,  -3.5529781571583996      ,  -3.9289219139751275     
   1.9199999999999999      ,  -2.9187468955129345      ,  -2.9166308981655211      ,  -3.1776446756275472      ,  -3.4719591407305610     
   1.9600000000000000      ,  -2.6401881680404413      ,  -2.6382741167848045      ,  -2.8414100231076644      ,  -3.0679896114969609     
   2.0000000000000000      ,  -2.3869475621787637      ,  -2.3852171021934363      ,  -2.5403350841356529      ,  -2.7109199004869380     
   2.0400000000000000      ,  -2.1568882049353300      ,  -2.1553245305628366      ,  -2.2708478158470737      ,  -2.3953442192551564     
   2.0800000000000001      ,  -1.9480317415077442      ,  -1.9466194813340230      ,  -2.0297156538827950      ,  -2.1164697958544831     
   2.1200000000000001      ,  -1.7585496176800794      ,  -1.7572747259338901      ,  -1.8140184189522648      ,  -1.8700496806268678     
   2.1600000000000001      ,  -1.5867543730824647      ,  -1.5856040273469030      ,  -1.6211221804882401      ,  -1.6523223955424651     
   2.2000000000000002      ,  -1.4310910404313606      ,  -1.4300535455906418      ,  -1.4486543786139765      ,  -1.4599578500139756     
   2.2400000000000002      ,  -1.2901287266964048      ,  -1.2891934249860346      ,  -1.2944803895020027      ,  -1.2900089650163544     
   2.2800000000000002      ,  -1.1625524356801382      ,  -1.1617096226654471      ,  -1.1566816331119891      ,  -1.1398684746168781     
   2.3199999999999998      ,  -1.0471551774448582      ,  -1.0463960237199466      ,  -1.0335352592688640      ,  -1.0072304063577426     
   2.3599999999999999      , -0.94283039809651170      , -0.94214687647135853      , -0.92349540267021402      , -0.89005577693377713     
   2.3999999999999999      , -0.84856475338324056      , -0.84794957130971893      , -0.82517596550200767      , -0.78654207555532618     
   2.4399999999999999      , -0.76343124115388494      , -0.76287777813052482      , -0.73733486464680131      , -0.69509614307592660     
   2.4800000000000000      , -0.68658270074011840      , -0.68608495042960704      , -0.65885966647626293      , -0.61431008957297473     
   2.5200000000000000      , -0.61724568158670823      , -0.61679819837843575      , -0.58875452398773309      , -0.54293992605638752     
   2.5600000000000001      , -0.55471467878943825      , -0.55431252854109225      , -0.52612832707437884      , -0.47988661701317054     
   2.6000000000000001      , -0.49834672945998704      , -0.49798544415660900      , -0.47018397585753868      , -0.42417928939437666     
   2.6400000000000001      , -0.44755636088856465      , -0.44723189696402443      , -0.42020868837381209      , -0.37496036034396474     
   2.6800000000000002      , -0.40181087920142999      , -0.40151957927547244      , -0.37556525682351266      , -0.33147237046271627     
   2.7200000000000002      , -0.36062598550844760      , -0.36036454330189072      , -0.33568417053861838      , -0.29304633175392114     
   2.7600000000000002      , -0.32356170531528278      , -0.32332713351626041      , -0.30005652843113845      , -0.25909141970572103     
